date,apparent_temperature,pressure_msl,wind_speed_10m,sea_surface_temperature
2026-06-12 03:00:00+01:00,12.267002,1023.3,5,18.55
2026-06-12 04:00:00+01:00,12.572941,1023.1,5,18.5
2026-06-12 05:00:00+01:00,12.727148,1023.2,5,18.5
2026-06-12 06:00:00+01:00,12.628227,1023.7,5,18.5
2026-06-12 07:00:00+01:00,12.936565,1024.5,4,18.5
2026-06-12 08:00:00+01:00,13.517681,1025.4,4,18.5
2026-06-12 09:00:00+01:00,13.831875,1025.8,4,18.5
2026-06-12 10:00:00+01:00,13.806816,1026.6,4,18.55
2026-06-12 11:00:00+01:00,13.972624,1026.9,3,18.55
2026-06-12 12:00:00+01:00,14.061966,1026.6,3,18.55
2026-06-12 13:00:00+01:00,14.637901,1026.0,3,18.55
2026-06-12 14:00:00+01:00,14.961796,1025.6,3,18.55
2026-06-12 15:00:00+01:00,15.005899,1025.8,3,18.55
2026-06-12 16:00:00+01:00,14.66684,1025.9,3,18.55
2026-06-12 17:00:00+01:00,14.592073,1026.5,3,18.5
2026-06-12 18:00:00+01:00,14.629953,1026.7,3,18.5
2026-06-12 19:00:00+01:00,14.541019,1027.1,3,18.5
2026-06-12 20:00:00+01:00,14.637497,1027.6,3,18.5
2026-06-12 21:00:00+01:00,14.638229,1027.9,3,18.5
2026-06-12 22:00:00+01:00,14.427856,1027.9,3,18.5
2026-06-12 23:00:00+01:00,14.514471,1027.7,3,18.45
2026-06-13 00:00:00+01:00,14.889399,1025.8,2,17.2
2026-06-13 01:00:00+01:00,14.661533,1025.9,2,17.2
2026-06-13 02:00:00+01:00,13.949932,1025.8,2,17.2
2026-06-13 03:00:00+01:00,13.9319935,1025.8,2,17.2
2026-06-13 04:00:00+01:00,13.899998,1025.6,2,17.15
2026-06-13 05:00:00+01:00,13.937302,1025.7,2,17.15
2026-06-13 06:00:00+01:00,14.259743,1025.9,2,17.15
2026-06-13 07:00:00+01:00,14.317759,1026.2,2,17.15
2026-06-13 08:00:00+01:00,14.717257,1026.4,1,17.2
2026-06-13 09:00:00+01:00,14.824924,1026.6,1,17.25
2026-06-13 10:00:00+01:00,14.91485,1026.7,1,17.3
2026-06-13 11:00:00+01:00,14.769875,1026.4,2,17.35
2026-06-13 12:00:00+01:00,14.747816,1025.8,2,17.4
2026-06-13 13:00:00+01:00,15.044689,1024.9,2,17.4
2026-06-13 14:00:00+01:00,14.745651,1024.4,2,17.4
2026-06-13 15:00:00+01:00,14.671923,1024.3,3,17.35
2026-06-13 16:00:00+01:00,14.549896,1024.3,3,17.35
2026-06-13 17:00:00+01:00,14.703173,1024.4,2,17.3
2026-06-13 18:00:00+01:00,14.571375,1024.7,3,17.25
2026-06-13 19:00:00+01:00,14.08074,1024.7,3,17.25
